id;nome;descrizione;stato
1;interfaces;Arizona input generate;ATTIVO
2;protocol Chief;paradigm matrices;DISATTIVO
3;mobile;wireless;ATTIVO
4;Brand Virgin Islands, U.S. hacking;policy Credit Card Account;DISATTIVO
5;Pennsylvania Gorgeous Frozen Chair Alaska;Small superstructure;ATTIVO
6;deposit Kentucky;Brooks invoice pixel;DISATTIVO
7;Tenge Louisiana scalable;6th generation;ATTIVO
8;Sri Lanka Rupee Ball;Maine Small Concrete Sausages;DISATTIVO
9;Wooden Engineer;Comoro Franc Intranet Intelligent Rubber Mouse;DISATTIVO
10;Liaison deploy;Bahamian Dollar;DISATTIVO
