id;lunedi;martedi;mercoledi;giovedi;venerdi;sabato;domenica;si_ripete;festivi
1;false;false;true;false;true;false;true;false;false
2;false;false;false;false;true;true;true;true;false
3;false;false;true;true;true;true;false;true;true
4;false;false;false;false;true;true;false;false;true
5;true;false;false;true;false;false;true;false;false
6;false;true;true;false;true;false;true;true;false
7;true;false;true;false;true;false;false;false;false
8;true;false;true;false;false;false;false;false;false
9;false;false;false;false;false;true;true;true;true
10;true;true;false;true;true;true;false;false;true
