id;nome;descrizione;descrione_intervalli;stato
1;visualize Internal;challenge;solid state transmitting;ATTIVO
2;SMS Louisiana sensor;Sleek Cotton Chair;interactive Buckinghamshire Washington;DISATTIVO
3;best-of-breed;Self-enabling CSS Berkshire;Garden;ATTIVO
4;Egypt convergence Associate;Checking Account;Quality olive;DISATTIVO
5;Intelligent Metal Shoes implement maximized;Movies driver;Operations withdrawal bypass;ATTIVO
6;bypass Administrator;Ridges Coordinator Progressive;copy;ATTIVO
7;SAS;systems Liberian Dollar;Metal green Illinois;ATTIVO
8;Investment Account Incredible Frozen Bike Practica;Operations Buckinghamshire;Regional;DISATTIVO
9;3rd generation Electronics;multi-byte Planner Zloty;SSL optimize;DISATTIVO
10;Outdoors Ports collaborative;Automotive Human Security;24/7 Forges program;DISATTIVO
