id;nome;regole_circolazione;stato
1;program Intelligent;../fake-data/blob/hipster.txt;ATTIVO
2;robust multi-byte;../fake-data/blob/hipster.txt;ATTIVO
3;architectures 1080p;../fake-data/blob/hipster.txt;DISATTIVO
4;AI navigating Leone;../fake-data/blob/hipster.txt;DISATTIVO
5;withdrawal;../fake-data/blob/hipster.txt;ATTIVO
6;Rustic Rubber Chicken Auto Loan Account;../fake-data/blob/hipster.txt;DISATTIVO
7;explicit Plastic;../fake-data/blob/hipster.txt;DISATTIVO
8;back up array portal;../fake-data/blob/hipster.txt;ATTIVO
9;transmit Fish;../fake-data/blob/hipster.txt;ATTIVO
10;Garden world-class dynamic;../fake-data/blob/hipster.txt;DISATTIVO
