id;codice;descrizione_posizione;stato
1;SCSI Land Principal;Ergonomic Concrete Tuna;ATTIVO
2;Mill bypassing;National networks Belarussian Ruble;DISATTIVO
3;Designer eco-centric Sleek;circuit distributed Rubber;DISATTIVO
4;Nevada;Kwacha Barbados Dollar leading edge;ATTIVO
5;bypass seamless Unbranded;Convertible Marks moratorium multi-byte;DISATTIVO
6;Algeria Granite copying;Mills Central SCSI;DISATTIVO
7;enhance Intelligent Soft Chips Automated;SQL Officer Cloned;DISATTIVO
8;orange Intelligent Gloves;Convertible Marks Soap;ATTIVO
9;Montenegro fuchsia indigo;Shoes transmitter;ATTIVO
10;Hat;cyan optimal;ATTIVO
